QUEST_JOBSTEP_20150317_000001	邪靈祭司啊！你選擇了困難的路。{nl}參考冒險日誌的製作法，製造獨特的人偶吧！
QUEST_JOBSTEP_20150317_000001	邪靈祭司啊！你選擇了困難的路。{nl}參考冒險日誌的製作法，製造獨特的人偶吧！
QUEST_JOBSTEP_20150317_000002	如果不自己去找就無法獲得。{nl}人偶的製作法請參考你的冒險日誌。
QUEST_JOBSTEP_20150317_000003	恭喜你，新的邪靈祭司誕生了。{nl}當初我選擇邪靈祭司這條路時，也是從製作自己的人偶開始。{nl}
QUEST_JOBSTEP_20150317_000004	輕裝步兵大師
QUEST_JOBSTEP_20150317_000005	你如果真的要接受我的教導，必須要證明你是否有資格。{nl}給你一項任務。請消滅佔領水晶礦山1層的布貝們。{nl}{nl}
QUEST_JOBSTEP_20150317_000006	這點程度都做不到，怎麼肩負輕裝步兵之名呢？
QUEST_JOBSTEP_20150317_000007	很好。{nl}希望你的成長能夠守護世界。
QUEST_JOBSTEP_20150317_000008	高地戰士大師
QUEST_JOBSTEP_20150317_000009	我真的很感謝你願意繼承我的劍法，但我懷疑你是否能順利跟上。{nl}我想讓你去對付占領水晶礦山1層的布貝藉此考驗你。
QUEST_JOBSTEP_20150317_000010	動作快。{nl}雖然是入門任務，但那些布貝對礦山村莊造成威脅是事實。
QUEST_JOBSTEP_20150317_000011	結果很好。我允許你加入高地戰士。{nl}今後也要努力修練。
QUEST_JOBSTEP_20150317_000012	烈焰魔法師大師
QUEST_JOBSTEP_20150317_000013	你想要跟我學習魔法的那份熱情我懂，但是我不會隨便教人的。{nl}我要視你能輔助我的研究到什麼程度來決定。
QUEST_JOBSTEP_20150317_000014	辛苦了。託你的福我能進入下一個研究階段了。{nl}我會依約定教你烈焰魔法師的魔法。
QUEST_JOBSTEP_20150317_000015	你來得正好。你該為我做的就是消滅我召喚出來的惡靈。{nl}我會記錄過程中釋放出的特殊波長。
QUEST_JOBSTEP_20150317_000016	我正在研究物質的第4種狀態。{nl}如果沒有能控制靈魂的邪靈祭司大師的協助，是絕對辦不到的。
QUEST_JOBSTEP_20150317_000017	很好，非常優秀。{nl}請告訴烈焰魔法師大師你已經收集到所有需要的資料了。
QUEST_JOBSTEP_20150317_000018	很好。{nl}我正在和邪靈祭司大師一起進行那項研究，請你過去找他，他會告訴你該做什麼。
QUEST_JOBSTEP_20150317_000019	寒冰魔法師大師
QUEST_JOBSTEP_20150317_000020	想跟我學魔法嗎？{nl}我當然會教你。但你必須幫我處理一件事。
QUEST_JOBSTEP_20150317_000021	烈焰魔法師大師目前不在。{nl}唉，這件事非常簡單。
QUEST_JOBSTEP_20150317_000022	請別自責。你做得非常好。{nl}從現在起我會助你一臂之力，不必太過擔心。
QUEST_JOBSTEP_20150317_000023	請偷偷潛入烈焰魔法師的房間，打開房裡的箱子。{nl}消滅箱子裡的東西吧。
QUEST_JOBSTEP_20150317_000024	這個程度的話，已足夠了。{nl}我的魔法比你想像中的難，所以你要努力跟上來喔。
QUEST_JOBSTEP_20150317_000025	想向我學習的決心是很好，但必須先替我做一件事。{nl}必須接受才能繼續說下去。{nl}
QUEST_JOBSTEP_20150317_000026	竟然是利迪亞夏班的道具，那對我們弓箭手來說就像聖物一樣。{nl}如果可以，就算賣掉所有的財產也想要擁有它。
QUEST_JOBSTEP_20150317_000027	沒想到我能親眼看到它。{nl}謝謝你。現在開始我會徹底指導你，你要做好覺悟。
QUEST_JOBSTEP_20150317_000028	聽說從星之塔中消失的望遠鏡的鏡片就在水晶礦山1層。{nl}如果你能在其他大師發覺之前盡快把它帶來給我，我就把我的技術教給你。
QUEST_JOBSTEP_20150317_000029	你說想跟我學弓.. 那麼我委託你一件事。{nl}我要看你能把那件事做得多好再決定要不要教你。
QUEST_JOBSTEP_20150317_000030	艾保尼風… 無法原諒。
QUEST_JOBSTEP_20150317_000031	獵人大師
QUEST_JOBSTEP_20150317_000032	書全都集齊啦。辛苦了。{nl}我會依照約定允許你成為獵人。
QUEST_JOBSTEP_20150317_000033	成果很明確。那我從現在開始教你吧！{nl}希望你別辜負我的期待。
QUEST_JOBSTEP_20150317_000034	我聽傳聞說水晶礦山1層的蝙蝠含有特別的毒。{nl}那一定是暗殺者艾保尼風所用的毒。請把毒萃取回來。
QUEST_JOBSTEP_20150317_000035	野蠻人大師
QUEST_JOBSTEP_20150317_000036	透過劍鋒相對就能知道對手的本領。{nl}如果你向我證明自己有資格成為戰士，我會引導你成為真正的野蠻人。
QUEST_JOBSTEP_20150317_000037	你有足夠的資格成為戰士。{nl}讓我幫你成為真正的野蠻人吧！
QUEST_JOBSTEP_20150317_000038	我很了解你想透過槍變強的心意。{nl}如果你完成我給你的課題，我就教你槍術。
QUEST_JOBSTEP_20150317_000039	請將荊棘心山溝的格羅爾的皮革、落雨林的切波勒的毒針，{nl}還有礦山村莊的幽格普斯的黑粉帶來給我。
QUEST_JOBSTEP_20150317_000040	我很清楚你想變強的決心。{nl}你有資格與槍同在。
QUEST_JOBSTEP_20150317_000041	念力魔法師大師
QUEST_JOBSTEP_20150317_000042	如果你想要了解念力魔法師，要不要暫時當一下我的助手。{nl}我向你保證這會是非常棒的領域。
QUEST_JOBSTEP_20150317_000043	先到荊棘心山溝，消滅梅修花怪，收集花蕊給我。{nl}花蕊很容易壞掉，要取得完整的並不容易。
QUEST_JOBSTEP_20150317_000044	很好。梅修花怪的花蕊都還活著。{nl}現在給你看一個真的有趣的。
QUEST_JOBSTEP_20150317_000045	你現在去荊棘心山溝的琴塔拉街道。{nl}在我設置的梅修花怪人偶上噴灑這個藥水，然後將結果告訴我。
QUEST_JOBSTEP_20150317_000046	你說周圍的梅修花怪攻擊你？{nl}梅修花怪當梅修花怪人偶是朋友，可以算是成功了。{nl}
QUEST_JOBSTEP_20150317_000047	辛苦了。{nl}你已經成為一個好助手，那我就正式教你關於念力魔法師的事。
QUEST_JOBSTEP_20150317_000048	我研究的主題是關於將念力轉移成物質型態的方法論。{nl}什麼意思呢.. 就是用藥來進行洗腦。
QUEST_JOBSTEP_20150317_000049	鎖鏈魔法師大師
QUEST_JOBSTEP_20150317_000050	對鎖鏈魔法師來說，天賦非常重要。{nl}把心門關上非常簡單，但打開他人的心房卻需要特殊的天賦。{nl}
QUEST_JOBSTEP_20150317_000051	我要考驗你，看看你有沒有那種天賦。
QUEST_JOBSTEP_20150317_000052	好。在考驗之前，需要一些材料。{nl}到關口路將刺球怪的尖刺和貝里克洛的碎片帶來給我。
QUEST_JOBSTEP_20150317_000053	真出色。{nl}但這只是考驗的準備。
QUEST_JOBSTEP_20150317_000054	考驗開始。{nl}關口路上有個異面世界的裂縫。{nl}
QUEST_JOBSTEP_20150317_000055	雖然對普通人來說只是現實，但如果有鎖鏈魔法師的天賦就能找到異面世界。{nl}請尋找位於該處的書並帶來給我。
QUEST_JOBSTEP_20150317_000056	還沒好嗎？{nl}前往關口路，去我標示在地圖上的地方就好了。
QUEST_JOBSTEP_20150317_000057	把書帶來啦。這樣你就通過考驗了。{nl}請把那本書當做踏上鎖鏈魔法師之路的決心來讀。
QUEST_JOBSTEP_20150317_000058	工兵的技能啊…那當然要繳學費囉。{nl}不是交給我，請你捐獻給位在柯拉佩達的聖職者大師。{nl}大概5,000銀幣吧？
QUEST_JOBSTEP_20150317_000059	啊！還有一件事。{nl}我有東西藏在夏奧雷伊西邊森林的普魯德之島。{nl}在你去柯拉佩達之前，先去找到那個東西，然後幫我將東西還給柯拉佩達原來的主人。{nl}{nl}
QUEST_JOBSTEP_20150317_000060	哦，這個 好像在哪看過這東西…嗯… 好眼熟…{nl}既然是給我的，那我就感激地收下囉！
QUEST_JOBSTEP_20150317_000061	哎呀，這不是我弄丟的工具嗎？{nl}謝啦。還在想我把它掉在哪了呢。
QUEST_JOBSTEP_20150317_000062	你忘記捐款啦？{nl}要捐5,000銀幣。
QUEST_JOBSTEP_20150317_000063	聖職者大師
QUEST_JOBSTEP_20150317_000064	我以女神之名感謝你。{nl}我答應你會把這捐款用在被怪物傷害的人身上。{nl}
QUEST_JOBSTEP_20150317_000065	我本來是竊賊，因為有所領悟才完全金盆洗手的。{nl}但我一直掛念著一件事…我要趁這個機會做個了結{nl}
QUEST_JOBSTEP_20150317_000066	不論如何辛苦了。{nl}之後互相學習，好好相處吧！
QUEST_JOBSTEP_20150317_000067	我在找書，是利迪亞夏班大人的4本書。{nl}如果你幫我找，我就教你我的技術。
QUEST_JOBSTEP_20150317_000068	聽說那本書原本是在礦山村莊，但在布貝襲擊事件當時遺失了。{nl}請前往布貝前哨基地所在之處。
QUEST_JOBSTEP_20150317_000069	原來是這本書啊。如果你夢想成為最強的弓箭手，應該會需要此書。{nl}如果收集到全部的書，就為你製作手抄本。
QUEST_JOBSTEP_20150317_000070	下一本書在弩箭手大師手上。{nl}之前聽說他在找梅羅葛的皮革，也許能用那個跟他作交易。
QUEST_JOBSTEP_20150317_000071	還沒從獵人大師那裡取得梅羅葛的皮革？
